 cookie=0x0, duration=8.323s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, idle_age=8, priority=65535,udp,in_port=1,vlan_tci=0x0000,dl_src=42:d5:a0:56:46:8a,dl_dst=5e:4e:40:54:96:6f,nw_src=194.226.19.228,nw_dst=10.0.0.36,nw_tos=0,tp_src=2,tp_dst=80 actions=output:5
 cookie=0x0, duration=8.282s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, idle_age=8, priority=65535,udp,in_port=1,vlan_tci=0x0000,dl_src=42:d5:a0:56:46:8a,dl_dst=02:dc:67:00:bb:9a,nw_src=119.82.35.210,nw_dst=10.0.0.53,nw_tos=0,tp_src=2,tp_dst=80 actions=output:7
 cookie=0x0, duration=8.222s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, idle_age=8, priority=65535,udp,in_port=1,vlan_tci=0x0000,dl_src=42:d5:a0:56:46:8a,dl_dst=76:2d:87:43:49:ba,nw_src=73.104.220.160,nw_dst=10.0.0.39,nw_tos=0,tp_src=2,tp_dst=80 actions=output:5
 cookie=0x0, duration=8.178s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, idle_age=8, priority=65535,udp,in_port=1,vlan_tci=0x0000,dl_src=42:d5:a0:56:46:8a,dl_dst=e6:4b:d9:07:cb:fd,nw_src=227.94.50.185,nw_dst=10.0.0.44,nw_tos=0,tp_src=2,tp_dst=80 actions=output:6
 cookie=0x0, duration=8.139s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, idle_age=8, priority=65535,udp,in_port=1,vlan_tci=0x0000,dl_src=42:d5:a0:56:46:8a,dl_dst=be:b6:bd:0d:d5:78,nw_src=208.2.212.85,nw_dst=10.0.0.27,nw_tos=0,tp_src=2,tp_dst=80 actions=output:4
 cookie=0x0, duration=8.087s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, idle_age=8, priority=65535,udp,in_port=1,vlan_tci=0x0000,dl_src=42:d5:a0:56:46:8a,dl_dst=e6:4b:d9:07:cb:fd,nw_src=45.157.247.26,nw_dst=10.0.0.44,nw_tos=0,tp_src=2,tp_dst=80 actions=output:6
 cookie=0x0, duration=8.035s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, idle_age=8, priority=65535,udp,in_port=1,vlan_tci=0x0000,dl_src=42:d5:a0:56:46:8a,dl_dst=32:c7:f2:11:42:6e,nw_src=236.219.23.138,nw_dst=10.0.0.12,nw_tos=0,tp_src=2,tp_dst=80 actions=output:2
 cookie=0x0, duration=7.987s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, idle_age=7, priority=65535,udp,in_port=1,vlan_tci=0x0000,dl_src=42:d5:a0:56:46:8a,dl_dst=22:fb:e7:8c:3d:cb,nw_src=107.245.133.200,nw_dst=10.0.0.54,nw_tos=0,tp_src=2,tp_dst=80 actions=output:7
 cookie=0x0, duration=7.911s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, idle_age=7, priority=65535,udp,in_port=1,vlan_tci=0x0000,dl_src=42:d5:a0:56:46:8a,dl_dst=c6:1b:7b:68:8a:a4,nw_src=59.51.133.31,nw_dst=10.0.0.32,nw_tos=0,tp_src=2,tp_dst=80 actions=output:4
 cookie=0x0, duration=7.787s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, idle_age=7, priority=65535,udp,in_port=1,vlan_tci=0x0000,dl_src=42:d5:a0:56:46:8a,dl_dst=06:8a:d8:18:18:25,nw_src=39.112.94.253,nw_dst=10.0.0.35,nw_tos=0,tp_src=2,tp_dst=80 actions=output:5
